Instance,Time,Cost,FacilityState,CustomerState
1,0.431,10017,1 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 0 0 6 9 5 0 3 9 7 6 3 5 6 9 5 7 0 3 3 8 2 0 3 7 9 3 6 8 5 7 8 2 5 7 0 2 7 6 
2,0.209,9207,0 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 5 6 7 2 6 6 3 9 6 9 5 6 3 9 7 6 3 5 6 9 5 7 3 3 3 8 2 9 3 7 9 3 6 6 5 7 8 2 5 7 8 2 5 6 
3,0.227,11005,0 0 1 1 1 1 1 1 0 1 ,5 7 6 2 9 9 5 6 3 2 6 3 4 9 6 4 5 6 3 9 7 6 3 5 6 9 5 7 4 3 3 6 2 4 3 7 9 3 6 4 5 7 4 2 5 7 6 2 4 6 
4,0.254,12228,0 0 1 1 0 1 1 0 1 1 ,5 2 8 2 9 9 5 6 3 2 6 3 5 9 6 9 5 6 2 9 6 6 3 5 8 9 5 9 3 3 3 8 2 9 3 6 9 3 6 8 5 2 8 2 5 3 6 2 5 6 
5,0.193,10107,1 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 2 6 3 2 6 3 3 0 6 9 5 0 7 9 7 6 3 5 6 9 5 7 0 3 3 8 2 0 3 8 9 3 6 8 5 7 8 8 5 7 0 2 5 6 
6,0.191,9364,1 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 2 6 7 2 6 3 0 0 6 9 5 6 3 9 7 6 3 5 6 9 5 7 0 0 3 8 2 0 3 7 9 3 6 8 5 7 8 8 5 7 0 2 5 8 
7,0.191,10734,1 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 2 6 3 2 6 3 0 0 6 9 5 0 2 9 7 6 3 5 6 9 5 7 0 3 3 8 2 0 3 7 9 3 6 8 5 7 8 8 5 7 8 2 5 6 
8,0.199,12556,1 0 1 1 1 1 1 1 1 1 ,0 7 8 2 9 9 5 6 7 2 6 4 8 8 6 9 5 0 3 9 7 6 3 5 6 9 5 7 0 2 3 8 2 0 3 7 9 3 6 8 5 7 8 8 5 7 0 2 5 6 
9,0.173,9677,0 1 1 1 0 1 1 0 1 1 ,5 2 8 2 9 9 5 6 3 2 6 3 3 9 6 9 5 6 3 9 8 6 3 5 6 9 5 9 3 3 3 8 2 1 3 8 9 3 6 8 5 1 8 8 1 3 8 2 5 6 
10,0.178,8958,0 1 1 1 0 1 1 0 1 1 ,5 2 8 2 9 9 5 6 3 2 6 3 3 9 6 9 5 6 3 9 8 6 3 5 6 9 5 9 3 3 3 8 2 1 3 8 9 3 6 8 5 1 8 8 1 3 8 2 5 6 
11,0.187,10340,0 1 1 1 0 1 1 0 1 1 ,5 2 8 2 9 2 5 6 3 2 6 3 3 9 6 9 5 6 3 9 8 6 3 5 6 9 5 9 3 3 3 8 2 9 3 8 9 3 6 8 5 3 8 8 5 3 8 1 5 6 
12,0.184,12272,0 0 1 1 0 1 1 1 0 1 ,5 7 6 2 9 9 5 6 3 2 6 3 3 9 6 9 5 6 3 9 7 6 3 5 6 9 5 7 3 3 3 6 2 9 3 7 9 3 5 6 5 7 3 2 5 7 6 2 5 6 
13,0.173,9909,1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 ,0 6 11 15 4 5 12 11 5 4 11 5 15 6 12 13 4 0 12 13 15 16 4 9 6 13 15 16 5 4 4 1 6 4 9 15 0 6 11 16 0 13 16 15 6 5 12 5 13 0 
14,0.178,8349,1 0 0 0 1 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 ,0 6 11 15 4 5 12 11 5 4 11 5 8 6 12 19 4 0 12 16 15 16 4 5 19 8 15 16 5 6 4 0 6 4 0 8 0 6 11 16 0 6 16 19 4 5 12 5 15 8 
15,0.181,10751,1 0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 ,0 6 11 15 4 5 12 11 5 4 11 5 15 11 12 15 4 0 12 16 6 16 4 13 6 15 15 16 5 6 4 0 6 4 0 5 0 6 11 16 0 6 16 15 4 5 12 5 15 9 
16,0.184,12911,0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 ,16 6 11 15 4 12 12 16 5 4 11 5 15 11 12 15 4 9 12 16 15 16 9 9 6 15 15 16 5 4 4 11 6 4 9 5 11 6 11 16 5 6 16 15 6 5 12 5 15 4 
17,0.172,9946,1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 ,0 6 11 15 4 5 19 16 5 4 11 5 15 11 15 19 4 0 11 16 15 16 4 5 19 19 15 16 5 6 4 0 6 4 0 15 0 6 11 16 0 6 16 19 6 5 19 5 15 0 
18,0.179,8576,1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 ,0 6 11 15 4 5 19 16 5 4 11 5 15 11 15 19 4 0 11 16 15 16 4 9 19 19 15 16 5 6 4 0 6 4 9 15 0 6 11 16 0 6 16 19 6 5 0 5 15 0 
19,0.175,10122,1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 ,0 6 11 15 4 5 19 11 5 4 11 5 15 11 15 19 4 0 0 16 15 16 4 5 19 19 15 16 5 6 4 0 6 4 0 1 0 6 11 16 0 6 16 19 6 5 19 5 15 16 
20,0.178,12640,0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 ,5 6 16 15 4 5 19 11 5 4 9 16 15 11 15 19 4 9 11 16 15 16 4 9 19 15 15 19 5 6 4 11 6 4 9 5 11 6 11 16 16 6 16 19 6 5 19 5 15 9 
21,0.178,9789,1 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 ,0 6 14 8 4 14 19 11 19 4 11 9 8 6 11 19 4 0 0 16 19 16 4 9 19 8 11 16 19 6 4 0 6 4 0 8 0 6 11 16 0 6 16 19 6 4 0 14 4 8 
22,0.181,8425,1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 ,0 6 14 8 4 14 19 11 19 4 11 8 8 6 11 19 4 0 0 16 19 16 4 14 19 8 11 16 19 6 4 0 6 4 0 8 0 6 11 16 0 6 16 19 4 4 0 14 8 8 
23,0.182,10572,1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 ,0 6 14 19 4 14 19 11 19 4 11 9 14 6 11 19 4 0 0 16 19 16 4 9 19 19 11 16 19 6 4 0 6 4 0 16 0 6 11 16 0 6 16 19 6 4 0 14 4 9 
24,0.186,13532,0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 ,19 6 16 6 4 4 19 16 19 4 11 9 11 11 11 19 4 9 11 16 9 16 9 9 19 19 11 16 9 4 4 16 6 4 9 4 11 6 11 16 16 6 16 19 6 16 19 6 6 9 
25,0.281,12057,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 10 7 3 5 8 13 8 21 13 8 13 8 21 5 8 13 8 10 5 21 27 27 8 5 10 27 8 5 17 4 13 10 7 4 21 27 8 7 5 4 13 10 10 4 10 27 8 5 7 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 27 10 3 8 13 8 21 4 10 7 8 5 13 4 13 10 10 4 21 27 27 7 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 5 7 10 27 8 7 5 27 7 8 5 13 10 27 8 13 5 10 13 8 7 13 21 27 8 3 5 8 13 10 10 4 10 27 8 8 5 
