Instance,Time,Cost,FacilityState,CustomerState
1,0.003,12458,0 0 1 1 0 1 1 1 1 1 ,5 5 8 2 5 2 5 6 9 2 6 3 9 6 6 2 5 6 3 2 6 6 3 5 6 2 7 5 9 3 3 8 5 9 3 7 9 9 5 8 5 2 8 2 5 9 6 2 5 6 
2,0.003,10733,0 1 1 1 0 1 1 1 1 1 ,5 5 8 2 5 2 5 6 7 2 6 3 9 6 6 2 5 6 3 2 6 6 3 5 6 2 7 5 9 3 3 8 5 9 3 7 9 1 5 8 5 2 8 2 5 7 6 2 5 6 
3,0.002,13877,0 0 1 1 1 1 1 1 0 1 ,5 5 9 2 5 2 5 6 9 2 6 3 9 6 6 2 5 6 3 2 6 6 3 5 6 2 7 5 9 3 3 9 5 9 3 7 9 4 5 4 5 2 9 2 5 9 6 2 5 6 
4,0,15701,0 0 1 1 0 1 1 0 1 1 ,5 5 9 2 5 2 5 6 9 2 6 3 9 6 6 2 5 6 3 2 6 6 3 5 6 2 8 5 9 3 3 9 5 9 3 9 9 9 5 9 5 2 9 2 5 9 6 2 5 6 
5,0.001,11925,1 0 1 1 0 1 1 1 1 1 ,9 5 0 2 5 2 7 6 7 2 6 3 0 0 6 9 5 6 3 2 7 6 3 5 6 2 8 5 7 3 3 8 5 0 3 7 9 8 6 8 5 7 8 9 9 7 0 2 0 8 
6,0,10905,1 0 1 1 0 1 1 1 1 1 ,9 5 0 2 5 2 7 6 7 2 6 3 0 0 6 9 5 6 3 2 7 6 3 5 6 2 8 5 7 3 3 8 5 0 3 7 9 8 6 8 5 7 8 9 9 7 0 2 0 8 
7,0,12505,1 0 1 1 0 1 1 1 1 1 ,9 5 0 2 5 2 7 6 7 2 6 3 0 0 6 9 5 6 3 2 7 6 3 5 6 2 8 5 7 3 3 8 5 0 3 7 9 8 6 8 5 7 8 9 9 7 0 2 0 8 
8,0,14105,1 0 1 1 0 1 1 1 1 1 ,9 5 0 2 5 2 7 6 7 2 6 3 0 0 6 9 5 6 3 2 7 6 3 5 6 2 8 5 7 3 3 8 5 0 3 7 9 8 6 8 5 7 8 9 9 7 0 2 0 8 
9,0.001,11609,0 1 1 1 0 1 1 0 1 1 ,5 5 6 3 5 9 2 9 2 2 6 3 9 9 6 9 5 9 3 9 6 3 3 5 6 9 8 5 1 3 3 8 5 1 3 8 9 3 5 6 5 6 8 2 5 6 6 2 5 6 
10,0,10890,0 1 1 1 0 1 1 0 1 1 ,5 5 6 3 5 9 2 9 2 2 6 3 9 9 6 9 5 9 3 9 6 3 3 5 6 9 8 5 1 3 3 8 5 1 3 8 9 3 5 6 5 6 8 2 5 6 6 2 5 6 
11,0,12467,0 0 1 1 0 1 1 0 1 1 ,5 5 6 3 5 9 2 9 2 2 6 3 9 9 6 9 5 9 3 9 6 3 3 5 6 9 2 5 2 3 3 8 5 8 3 8 9 3 5 6 5 6 8 2 5 6 6 2 5 6 
12,0,14687,0 0 1 1 0 1 1 1 0 1 ,5 5 6 3 5 9 2 9 2 2 6 3 9 9 6 9 5 9 3 9 6 3 3 5 6 9 2 5 2 3 3 2 5 2 3 7 9 3 5 6 5 6 2 2 5 6 6 2 5 6 
13,0,11114,1 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 ,0 6 16 5 4 12 12 16 5 4 11 5 15 11 11 15 4 9 11 16 6 16 4 9 6 15 15 16 5 4 4 9 6 4 9 5 11 6 11 16 0 6 16 15 6 5 12 5 15 9 
14,0,9947,1 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 ,0 6 16 5 4 12 12 16 5 4 11 5 15 11 11 15 4 9 11 16 6 16 4 9 6 15 15 16 5 4 4 9 6 4 9 5 11 6 11 16 0 6 16 15 6 5 12 5 15 9 
15,0,11979,1 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 ,0 6 16 5 4 15 12 16 5 4 11 5 15 11 11 15 4 9 11 16 6 16 4 9 6 15 15 16 5 4 4 9 6 4 9 5 11 6 11 16 0 6 16 15 6 5 12 5 15 9 
16,0,14111,0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 ,12 6 16 5 4 15 12 16 5 4 11 5 15 11 11 15 4 9 11 16 6 16 4 9 6 15 15 16 5 4 4 9 6 4 9 5 11 6 11 16 12 6 16 15 6 5 12 5 15 9 
17,0,11688,1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 ,0 6 16 5 4 5 19 16 5 4 11 5 15 11 11 15 4 9 11 16 9 16 4 9 19 15 15 9 5 6 4 9 6 4 9 5 11 6 11 16 0 6 16 15 6 5 15 5 15 9 
18,0.001,9831,1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 ,0 6 16 5 4 5 19 16 5 4 11 5 15 11 11 15 4 9 11 16 9 16 4 9 19 15 15 19 5 6 4 9 6 4 9 5 11 6 11 16 0 6 16 15 6 5 19 5 15 9 
19,0,12069,1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 ,0 6 16 5 4 5 19 16 5 4 11 5 15 11 11 15 4 9 11 16 9 16 4 9 19 15 15 9 5 6 4 9 6 4 9 5 11 6 11 16 0 6 16 15 6 5 15 5 15 9 
20,0,14237,0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 ,19 6 16 5 4 5 19 16 5 4 11 5 15 11 11 15 4 9 11 16 9 16 4 9 19 15 15 9 5 6 4 9 6 4 9 5 11 6 11 16 19 6 16 15 6 5 15 5 15 9 
21,0,12453,1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 ,0 6 16 19 4 14 19 16 9 4 11 9 14 11 11 19 4 6 11 16 6 16 4 9 6 19 11 16 9 4 4 9 6 4 9 9 11 6 11 16 0 6 16 19 6 16 9 6 19 9 
22,0,10815,1 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 ,0 6 16 19 4 14 19 16 19 4 11 9 14 11 11 19 4 6 11 16 6 16 4 9 6 19 11 16 9 4 4 9 6 4 9 8 11 6 11 16 0 6 16 19 6 16 19 6 19 9 
23,0,13013,1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 ,0 6 16 19 4 14 19 16 9 4 11 9 0 11 11 19 4 6 11 16 6 16 4 9 6 19 11 16 9 4 4 9 6 4 9 9 11 6 11 16 0 6 16 19 6 16 9 6 19 9 
24,0.001,15130,0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 ,19 6 16 19 4 14 19 16 9 4 11 9 19 11 11 19 4 6 11 16 6 16 4 9 6 19 11 16 9 4 4 9 6 4 9 9 11 6 11 16 19 6 16 19 6 16 9 6 19 9 
25,0.001,22673,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 3 17 4 4 27 8 21 4 3 27 3 21 4 4 27 27 5 4 21 27 27 5 4 5 3 3 3 17 4 8 8 10 4 21 3 3 17 4 4 4 8 8 3 8 27 8 5 5 10 13 8 10 13 21 3 3 17 4 10 8 8 10 13 4 17 8 10 3 3 5 27 21 3 8 27 8 5 5 4 8 8 10 4 21 3 3 3 4 4 8 8 10 4 4 27 27 21 4 4 17 17 10 3 8 27 8 5 5 8 27 8 5 5 8 27 8 5 5 27 3 8 5 5 27 3 3 17 4 10 8 8 5 13 4 3 3 3 4 4 27 8 8 4 8 3 3 3 5 
26,0.001,17957,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 3 17 4 4 27 8 21 4 3 27 3 21 4 4 27 27 5 4 21 27 27 5 4 5 3 3 3 17 4 13 8 10 4 21 3 3 17 4 4 4 8 10 3 8 27 8 5 5 10 13 8 7 13 21 3 3 17 4 10 13 8 7 13 4 17 8 10 3 3 5 27 21 3 10 27 8 5 5 4 8 8 10 4 21 3 3 3 4 4 13 8 10 4 4 27 27 21 4 4 17 17 10 3 8 27 8 5 5 10 27 8 5 5 8 27 8 5 5 27 3 8 5 5 27 3 3 17 4 10 13 8 5 13 4 3 3 3 4 4 27 8 10 4 8 3 3 3 5 
27,0.001,23274,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 3 17 4 4 27 8 21 4 3 27 3 21 4 4 27 27 5 4 21 27 27 5 4 5 3 3 3 17 4 8 8 10 4 21 3 3 17 4 4 4 8 8 3 8 27 8 5 5 10 13 8 7 13 21 3 3 17 4 10 13 8 7 13 4 17 8 10 3 3 5 27 21 3 8 27 8 5 5 4 8 8 10 4 21 3 3 3 4 4 8 8 10 4 4 27 27 21 4 4 17 17 8 3 8 27 8 5 5 8 27 8 5 5 8 27 8 5 5 27 3 8 5 5 27 3 3 17 4 8 8 8 5 13 4 3 3 3 4 4 27 8 8 4 8 3 3 3 5 
28,0.001,25613,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 3 17 4 4 27 8 21 4 3 27 3 21 4 4 27 27 5 4 21 27 27 5 4 5 3 3 3 17 4 8 8 10 4 21 3 3 17 4 4 4 8 8 3 8 27 8 5 5 10 13 8 10 13 21 3 3 17 4 10 13 8 10 13 4 17 8 10 3 3 5 27 21 3 8 27 8 5 5 4 8 8 10 4 21 3 3 3 4 4 8 8 10 4 4 27 27 21 4 4 17 17 8 3 8 27 8 5 5 8 27 8 5 5 8 27 8 5 5 27 3 8 5 5 27 3 3 17 4 8 8 8 5 13 4 3 3 3 4 4 27 8 8 4 8 3 3 3 5 
29,0.001,17548,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 ,21 3 3 17 15 8 27 8 21 5 15 15 15 21 4 8 27 8 10 5 21 27 27 5 5 5 3 5 15 17 4 13 10 10 4 21 27 21 17 5 4 17 15 10 21 10 27 8 15 5 22 13 16 7 13 21 3 3 17 17 10 13 8 7 13 4 17 15 10 3 4 15 15 21 4 10 27 8 5 13 4 13 8 10 4 21 15 3 17 15 4 13 8 10 4 15 27 15 21 5 4 17 17 10 3 10 27 8 5 5 10 27 8 5 5 10 27 8 7 5 27 27 8 15 17 21 3 3 17 17 10 13 8 7 13 21 3 3 3 5 4 27 15 21 4 8 3 27 15 17 
30,0.001,17665,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 ,21 3 3 17 20 8 27 8 21 5 15 20 15 21 4 20 20 27 10 5 21 20 27 5 5 20 3 5 15 17 4 13 8 10 4 21 20 21 17 5 4 17 15 10 21 27 20 8 15 5 10 13 10 7 13 21 3 3 17 17 10 13 8 7 13 4 17 15 10 3 4 15 15 21 4 10 20 8 5 13 4 27 8 10 4 21 15 3 17 15 4 13 8 10 4 15 20 15 21 5 4 17 17 10 3 8 20 8 5 5 10 20 8 5 5 8 20 8 10 5 27 20 27 15 17 21 3 3 17 17 10 27 8 7 13 21 3 3 3 5 4 20 15 21 4 8 3 27 15 17 
31,0,18652,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 ,21 3 3 17 15 8 27 8 21 5 15 15 15 21 4 8 27 8 10 5 21 27 27 5 5 5 3 5 15 17 4 13 10 10 4 21 27 21 17 5 4 17 15 10 21 10 27 8 15 5 22 13 22 7 13 21 3 3 17 17 10 13 8 7 13 4 17 15 10 3 4 15 15 21 4 10 27 8 5 13 4 13 8 10 4 21 15 3 17 15 4 13 8 10 4 15 27 15 21 5 4 17 17 10 3 10 27 8 5 5 10 27 8 5 5 10 27 8 7 5 27 27 8 15 17 21 3 3 17 17 10 13 8 7 13 21 3 3 3 5 4 27 15 21 4 8 3 27 15 17 
32,0.001,21052,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 ,21 3 3 17 15 8 27 8 21 5 15 15 15 21 4 8 27 8 10 5 21 27 27 5 5 5 3 5 15 17 4 13 10 10 4 21 27 21 17 5 4 17 15 10 21 10 27 8 15 5 22 13 22 7 13 21 3 3 17 17 10 13 8 7 13 4 17 15 10 3 4 15 15 21 4 10 27 8 5 13 4 13 8 10 4 21 15 3 17 15 4 13 8 10 4 15 27 15 21 5 4 17 17 10 3 10 27 8 5 5 10 27 8 5 5 10 27 8 7 5 27 27 8 15 17 21 3 3 17 17 10 13 8 7 13 21 3 3 3 5 4 27 15 21 4 8 3 27 15 17 
33,0.001,23118,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 17 17 4 27 8 21 4 3 5 3 21 4 4 27 27 5 4 21 27 27 4 4 5 3 3 17 17 4 8 8 10 4 21 3 21 17 17 4 17 27 21 21 27 27 8 5 17 10 13 8 10 13 21 3 3 17 17 10 8 8 10 13 4 17 8 10 3 3 5 27 21 4 8 27 8 5 5 4 27 8 10 4 21 3 21 21 17 4 27 8 10 4 4 5 27 21 4 4 17 17 5 3 8 27 27 5 5 8 27 8 5 5 8 27 8 5 5 27 27 5 5 17 21 3 3 17 17 10 27 8 5 5 21 3 3 17 17 4 5 8 21 21 8 3 3 3 17 
34,0.001,17298,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 17 17 4 27 8 21 4 3 27 3 21 4 4 27 27 5 4 21 27 27 4 4 5 3 3 17 17 4 13 8 10 4 21 3 21 17 17 4 17 8 21 21 27 27 8 5 17 10 13 8 7 13 21 3 3 17 17 10 13 8 7 13 4 17 8 10 3 3 5 27 21 4 10 27 8 5 5 4 27 8 10 4 21 3 21 21 17 4 13 8 10 4 4 27 27 21 4 4 17 17 10 3 8 27 8 5 5 10 27 8 5 5 8 27 8 5 5 27 27 27 5 17 21 3 3 17 17 10 27 8 5 13 21 3 3 17 17 4 5 8 21 21 8 3 3 3 17 
35,0.001,23280,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 17 17 4 27 8 21 4 3 5 3 21 4 4 27 27 5 4 21 27 27 4 4 5 3 3 17 17 4 8 8 10 4 21 3 21 17 17 4 17 27 21 21 27 27 8 5 17 10 13 8 7 13 21 3 3 17 17 10 13 8 7 13 4 17 8 10 3 3 5 27 21 4 8 27 8 5 5 4 27 8 10 4 21 3 21 21 17 4 27 8 10 4 4 5 27 21 4 4 17 17 5 3 8 27 27 5 5 8 27 8 5 5 8 27 8 5 5 27 27 5 5 17 21 3 3 17 17 8 27 8 5 5 21 3 3 17 17 4 5 8 21 21 8 3 3 3 17 
