Instance,Time,Cost,FacilityState,CustomerState
1,0.367,10017.0,1 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 0 0 6 9 5 0 3 9 7 6 3 5 6 9 5 7 0 3 3 8 2 0 3 7 9 3 6 8 5 7 8 2 5 7 0 2 5 6 
2,0.32,8917.0,1 0 1 1 1 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 4 0 6 4 5 0 3 9 7 6 3 5 6 9 5 7 0 3 3 8 2 0 3 7 9 3 6 4 5 7 8 8 5 7 0 2 4 6 
3,0.327,10508.0,1 0 1 1 1 1 1 1 1 0 ,5 7 8 2 5 2 5 6 3 2 6 3 4 0 6 4 5 0 3 0 7 6 3 5 6 2 5 7 0 3 3 8 2 0 3 7 6 3 6 4 5 7 8 8 5 7 0 2 4 6 
4,0.313,12147.0,0 0 1 1 1 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 6 4 9 6 4 5 6 3 9 7 6 3 5 6 9 5 7 3 3 3 8 2 4 3 7 9 3 6 4 5 7 8 2 5 7 8 2 4 6 
5,0.41,10294.0,1 0 1 1 1 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 4 0 6 4 5 0 7 9 7 6 3 5 6 9 8 7 0 3 3 8 2 0 3 7 9 3 6 4 5 4 8 8 5 7 0 2 4 6 
6,0.403,8994.0,1 0 1 1 1 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 4 0 6 4 5 0 7 9 7 6 3 5 6 9 8 7 0 3 3 8 2 0 3 7 9 3 6 4 5 4 8 8 5 7 0 2 4 6 
7,0.541,10704.0,1 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 0 9 6 2 5 0 2 9 7 6 3 5 6 9 8 7 0 3 3 8 2 0 3 7 9 3 6 8 5 7 8 8 5 7 0 2 0 6 
8,0.513,12306.0,1 0 1 1 0 1 1 1 1 1 ,5 7 8 2 7 9 5 6 3 2 6 6 0 9 6 9 5 0 3 9 7 6 3 5 8 2 8 7 0 3 3 8 2 0 3 7 9 3 6 8 5 7 8 8 5 7 0 2 0 6 
9,0.243,9677.0,0 1 1 1 0 1 1 0 1 1 ,5 2 8 2 9 9 5 6 3 2 6 3 3 9 6 9 5 6 3 9 8 6 3 5 6 9 5 9 3 3 3 8 2 1 3 8 9 3 6 8 5 1 8 8 1 3 8 2 5 6 
10,0.213,8848.0,0 0 1 1 1 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 4 9 6 4 5 6 3 9 7 6 3 5 6 9 5 7 3 3 3 8 2 4 3 7 9 3 6 4 5 7 8 8 5 7 8 2 4 6 
11,0.213,10448.0,0 0 1 1 1 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 4 9 6 4 5 6 3 9 7 6 3 5 6 9 5 7 3 3 3 8 2 4 3 7 9 3 6 4 5 7 8 8 5 7 8 2 4 6 
12,0.23,11792.0,0 0 1 1 0 1 1 1 1 1 ,5 7 8 2 9 9 5 6 3 2 6 3 3 9 6 9 5 6 3 9 7 6 3 5 6 9 5 7 3 3 3 8 2 9 3 7 9 3 6 8 5 7 8 8 5 7 8 2 5 6 
13,0.284,9666.0,1 0 0 0 1 1 1 0 1 0 0 1 0 1 1 0 1 1 0 0 ,0 6 14 17 4 14 17 11 5 4 11 5 8 6 11 13 4 0 6 13 8 16 4 14 14 17 4 16 5 6 8 0 17 4 0 8 0 6 11 16 0 6 16 17 4 5 17 14 13 8 
14,0.324,8125.0,1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 ,0 6 1 15 4 4 19 8 17 4 9 9 8 6 15 19 4 0 0 1 15 4 4 9 19 17 15 19 17 6 1 0 17 4 9 8 0 6 6 15 0 6 19 19 4 4 17 15 1 8 
15,0.259,10224.0,1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 ,0 13 3 15 4 5 3 16 5 4 6 5 17 6 15 13 4 0 6 13 15 16 4 3 17 3 15 16 5 6 15 0 17 4 0 15 0 6 6 16 0 13 16 17 4 5 17 5 13 4 
16,0.347,12381.0,0 0 0 1 1 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 ,16 6 3 15 4 4 12 11 5 4 11 5 15 6 12 3 4 12 12 16 15 16 4 3 5 3 15 16 5 6 5 11 6 4 15 16 11 6 11 16 3 6 16 15 4 5 12 5 15 4 
17,0.228,10180.0,0 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 1 ,10 6 1 15 4 14 12 11 5 4 11 5 8 6 12 19 4 9 12 1 15 14 4 9 19 8 15 11 5 6 1 8 6 4 9 8 11 6 11 1 10 6 19 19 4 5 12 14 1 8 
18,0.243,8170.0,1 0 0 0 1 0 1 1 1 0 0 0 1 1 1 1 0 0 1 1 ,0 6 14 18 7 14 12 8 18 4 18 18 8 6 12 13 4 0 12 13 15 14 4 14 19 13 15 7 18 6 4 0 6 4 0 8 0 6 12 15 0 6 19 19 4 7 12 14 13 8 
19,0.285,10070.0,1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 ,0 6 1 15 4 5 3 11 5 4 11 5 15 11 15 19 4 0 0 1 15 5 4 3 19 3 15 11 5 6 1 0 6 4 0 1 0 6 11 15 0 6 19 19 6 5 1 5 1 4 
20,0.244,13035.0,0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 ,16 6 3 15 4 5 12 11 5 4 11 5 15 11 12 19 4 9 12 16 15 16 9 9 19 3 15 16 5 6 4 11 6 4 9 15 11 6 11 16 3 6 16 19 6 5 12 5 15 4 
21,0.224,9891.0,1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 ,0 6 11 17 4 12 12 11 17 4 11 9 8 6 12 19 4 0 12 16 19 16 4 9 19 17 11 16 17 6 4 0 17 4 0 8 0 6 11 16 0 6 16 19 4 4 12 6 17 8 
22,0.225,7930.0,1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 1 1 1 ,0 6 1 18 4 14 19 8 18 4 18 18 8 6 15 19 4 0 0 1 15 14 4 14 19 17 15 0 17 6 1 0 17 4 0 8 0 6 6 1 0 6 19 19 4 4 17 14 1 8 
